post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
186330660.je-suis-comme-un-gosse,,false,,,newsletter,everyone,,,
186330602.08b,,false,,,newsletter,everyone,,,
185560385.accoucher,2026-01-25T19:16:15.622Z,true,2026-01-25T19:16:15.791Z,2026-01-25T19:16:15.791Z,newsletter,everyone,Accoucher,,
184884666.tas-trouve-un-job,2026-01-18T20:30:16.985Z,true,2026-01-18T20:30:17.174Z,2026-01-18T20:30:17.174Z,newsletter,everyone,T’as trouvé un job ?,Mon chemin après Qiara.,
184539780.qiara-cest-fini,2026-01-14T12:51:17.548Z,true,,,newsletter,everyone,"Qiara, c'est fini.","On avait les clients, les revenus, la croissance, la techno.",
137267227.tech-on-a-cree-un-protocole-sur-mesure,,false,,,newsletter,everyone,,,
137267190.nos-secrets-pour-des-tarifs-vraiment,,false,,,newsletter,everyone,,,
136268675.305,,false,,,newsletter,everyone,,,
75969151.freelance-ou-cdi,,false,,,newsletter,everyone,,,
73608587.se-concentrer-sur-limportant,2022-11-01T21:35:51.473Z,true,2022-11-01T21:35:51.634Z,2022-11-01T21:35:51.634Z,newsletter,everyone,Se concentrer sur l'important,Pour ne pas se perdre en chemin ,
73586156.archives-les-impacts-du-remote,,false,,,newsletter,everyone,,,
72965544.changer-notre-management,,false,,,newsletter,everyone,,,
72964933.on-vit-a-lis-on-meurt-a-lir,,false,,,newsletter,everyone,,,
71523342.organiser-une-equipe,,false,,,newsletter,everyone,,,
71518543.sortir-de-lhyper-activisme,2022-10-09T19:36:49.278Z,true,2022-10-09T19:36:49.574Z,2022-10-09T19:36:49.574Z,newsletter,everyone,Sortir de l'hyper-activisme 🏃,Et gagner en efficacité ⚡,
71514797.coaching-psy-mentor-avoir-le-courage,,false,,,newsletter,everyone,,,
71496524.reprendre-une-entreprise,,false,,,newsletter,everyone,,,
52065759.quel-avenir-pour-le-teletravail,,false,,,newsletter,everyone,,,
51859337.creer-pour-donner-du-sens,,false,,,newsletter,everyone,,,
51439109.c38,,false,,,newsletter,everyone,,,
51248831.7d6,,false,,,newsletter,everyone,,,
51247905.953,,false,,,newsletter,everyone,,,
50447453.remote-or-not-remote,2022-09-25T20:09:01.885Z,true,2022-09-25T20:09:02.041Z,2022-09-25T20:09:02.041Z,newsletter,everyone,Remote or not remote ? 🏡,2022 semble hybride ! 🏆,
49121960.pourquoi-tout-le-monde-dit-que-le,,false,,,newsletter,everyone,,,
44520087.comment-presenter-ses-idees,,false,,,newsletter,everyone,,,
44396388.comment-gerer-son-temps-et-ses-priorites,,false,,,newsletter,everyone,,,
43234856.6-conseils-pour-valider-que-vous,2021-11-26T08:27:09.577Z,true,2021-11-26T08:27:09.674Z,2021-11-26T08:27:09.674Z,newsletter,everyone,6 conseils pour valider que vous répondez bien à un besoin ,,
41232518.acheter-ou-louer-sa-residence-principale,2021-12-16T12:09:00.176Z,true,2021-12-16T12:09:00.293Z,2021-12-16T12:09:00.293Z,newsletter,everyone,Acheter ou louer sa résidence principale 🏠,Ne pas acheter à tout prix 😅 ,
40336072.la-prochaine-vague-les-communautes,,false,,,newsletter,everyone,,,
39748186.exemples-des-meilleurs-protocoles,,false,,,newsletter,everyone,,,
39286028.trouver-le-product-market-fit,,false,,,newsletter,everyone,,,
39064567.accompagnement-growth-en-france,,false,,,newsletter,everyone,,,
38996545.execution-idee-on-se-fout-de-vos,,false,,,newsletter,everyone,,,
38990035.methode-et-exemples-pour-trouver,,false,,,newsletter,everyone,,,
38934676.ma-reading-list-blogs-reportages,,false,,,newsletter,everyone,,,
38932808.limpact-du-teletravail-sur-nos-vies,,false,,,newsletter,everyone,,,
38806509.comment-transformer-une-idee-en-business,,false,,,newsletter,everyone,,,
38576272.go-to-market-b2c,,false,,,newsletter,everyone,,,
38496271.comment-creer-quelque-chose-que-les,2021-11-08T20:17:16.031Z,true,2021-11-08T20:17:16.098Z,2021-11-08T20:17:16.098Z,newsletter,everyone,Comment créer quelque chose que les gens veulent ? 💡,Qui dit quoi sur le sujet ?,
38488597.trouver-ladequation-avec-le-marche,,false,,,newsletter,everyone,,,
38453210.innover-dans-des-industries-endormies,,false,,,newsletter,everyone,,,
38428320.mes-livres-preferes-3e8,2021-07-06T10:23:49.396Z,true,,,newsletter,everyone,Mes livres préférés,(non-fiction & fiction),
38398558.mes-livres-preferes,2021-07-05T14:29:21.718Z,false,,,newsletter,everyone,Mes livres préférés,(non-fiction & fiction),
38169929.quel-est-le-secret-du-succes-,2021-09-07T07:29:29.234Z,true,2021-09-07T07:29:29.259Z,2021-09-07T07:29:29.259Z,newsletter,everyone,Quel est le secret du succès ? 🌟,Expérimenter ou l'art de la recherche-action ™,
38169228.surmonter-la-resistance-ecrire-et,2021-07-05T17:13:48.965Z,true,2021-07-05T17:13:49.034Z,2021-07-05T17:13:49.034Z,newsletter,everyone,Surmonter la résistance : écrire et partager ✍️ ,Pour tous ceux qui n'osaient pas (comme moi 👋 ),
38169050.coming-soon,2021-06-29T12:06:33.519Z,false,2021-06-29T12:06:33.519Z,2021-06-29T12:06:33.519Z,newsletter,everyone,"Partager mon chemin d'entrepreneur, en train de construire des ""trucs"" ! 👷💡🔨✏",,
38169049.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
